,index,IFFO1,CD9,PI3,CP,DENND2D_1
67,67,0.0100908695112216,0.726664181529491,0.381516665971426,0.928413924433905,0.24293589885714695
68,68,0.0702411628749859,0.0326750281784115,0.393737767644543,0.842287997153759,0.201080833711382
69,69,0.400025092406974,0.428992391367636,0.730042269275182,0.8106065891819191,0.534479416383256
70,70,0.506846443110916,0.28998301386185105,0.572199904596433,0.9001190639422901,0.590929583755794
71,71,0.465930487757655,0.44870910457486,0.6890419539906021,0.8909082804796179,0.541339000220596
72,72,0.373903653470341,0.437773665172019,0.677164054058772,0.9014704348478648,0.528479025734042
73,73,0.482400588961935,0.44607796148234496,0.5840229578208499,0.878138949085121,0.467148738254232
74,74,0.442627891865939,0.395425685852002,0.511450070085588,0.876104826278639,0.4799158429059261
75,75,0.199899479809031,0.33682790898375303,0.663271542176371,0.8502424229072109,0.447518273207675
76,76,0.257464976403163,0.35317298686304205,0.651659464294909,0.8728420730377181,0.492568805046017
77,77,0.289945652481378,0.25878637959449896,0.6364539337094061,0.8419495897847891,0.4592886215134671
78,78,0.22960188933670003,0.338382606573648,0.7719929937731479,0.8887411195384499,0.594836940695106
79,79,0.3775667027611189,0.32704379239346804,0.661574322560365,0.827777096921303,0.46400009643035
80,80,0.285383216725232,0.461915389964257,0.706713761226709,0.9280676405915308,0.5333468500649
81,81,0.481618332581197,0.292326668325431,0.6607215992760871,0.896026379423593,0.552591736150171
82,82,0.60566148857639,0.22766407703986705,0.644784695786274,0.8703824515628541,0.5295631232682271
83,83,0.36757596922625496,0.38868529370905297,0.671711456206181,0.919629030466682,0.5246632847742561
84,84,0.323802212003011,0.434412100415884,0.632033628730909,0.90251534586329,0.43083581760639295
85,85,0.4768214185419729,0.320181294915103,0.608413044525805,0.902612546868342,0.573287149426172
86,86,0.0101416314292349,0.7566996455978149,0.200457376873508,0.924989535185355,0.19534365361078104
87,87,0.46084227877186,0.31518397100115103,0.692378008479663,0.874912616132708,0.656997066172106
88,88,0.310902978529028,0.0663650436661861,0.33642771185669,0.923756090213492,0.352212466841146
89,89,0.329341915075238,0.350273229361763,0.648224526752839,0.765028521719511,0.4238489901401951
90,90,0.506774230644814,0.293344982924019,0.7014051096986461,0.9107876306932908,0.5251746379136389
91,91,0.583972802465463,0.299703242445867,0.7098405529186659,0.905628898549121,0.6228896534305091
92,92,0.442318228074281,0.313368200367672,0.6271504268892989,0.8887151631516741,0.544645964198065
93,93,0.45770592655739,0.327311106795534,0.5671768615871761,0.8779875198129681,0.561104413209058
94,94,0.295288328224313,0.404258337640432,0.710434689137267,0.8591466441117459,0.442327993470268
95,95,0.3645423094002271,0.375063621648149,0.651121210020359,0.9028700324306,0.579354533235361
96,96,0.42288615555489206,0.289331741436882,0.559224148811756,0.846670750564655,0.469681880709851
97,97,0.186238390055894,0.4105236663071679,0.631360750697693,0.881459077284236,0.510078672152853
98,98,0.0948251017602561,0.344844261368839,0.7083685626044871,0.8448957548584319,0.577471572559558
99,99,0.609431800822635,0.14904989993449802,0.659661264452853,0.841207518102833,0.67631659858905
100,100,0.198321981280089,0.325806396839886,0.7098427720198419,0.872318454445621,0.508222952401003
101,101,0.528199514592335,0.259660764728893,0.6684719730509301,0.883319885711274,0.657091377844052
102,102,0.457096871796518,0.3997729974536479,0.67899124397,0.8786190297366578,0.5356132223478139
103,103,0.314437029949242,0.365195652219362,0.678840645810972,0.8710152935923009,0.494951455424463
104,104,0.11929370391667099,0.380727796760329,0.6093000080653559,0.9059635340046148,0.537528285718846
105,105,0.439245882146858,0.283687681781473,0.683930203266815,0.894834865418912,0.640814698054749
106,106,0.37031570237412603,0.32403335118644605,0.634789885177938,0.864767510797082,0.5165056722082471
107,107,0.513803313204384,0.20718440902936,0.65229156724453,0.911569697830392,0.6739125400016039
108,108,0.334116861598367,0.266692145402102,0.5997483255301229,0.904082155560567,0.4853636411082561
109,109,0.5272466838812029,0.33116453991962896,0.635973355072592,0.826351017734751,0.6013869740427309
110,110,0.257778979175581,0.449528568321865,0.659444379035513,0.857114860208581,0.553324913951986
111,111,0.35838509991960493,0.324515046011847,0.628723769475696,0.8336806912093421,0.471888273904239
112,112,0.22997714530491897,0.3836122205421009,0.606710617358702,0.898004913989345,0.42283949241825
113,113,0.20402783935004604,0.286359451585014,0.654337406948499,0.885163802627922,0.559413588033959
114,114,0.44552892216867296,0.34090378718654,0.642689531939344,0.8776650763419008,0.629580483996256
115,115,0.306306455209448,0.422497589097774,0.6599120698151589,0.8856730371760609,0.51785540287708
116,116,0.5110009519542921,0.306443124786689,0.6308922019762729,0.837436745489105,0.604537789323644
117,117,0.4697683771738321,0.329367393144992,0.6586066508847089,0.867902387226087,0.615577969287039
118,118,0.45149838874141,0.244198295566315,0.636306537981145,0.8923260938257271,0.529586446954209
